专业类,专业类代码,所属学科门类,包含专业数量,本类总可报招录人数,直接面向本类招录人数,机会集中程度
工商管理类,1202,管理学,18,25337,7707,较集中
财政学类,0202,经济学,3,21333,14658,较均衡
管理科学与工程类,1201,管理学,11,21100,4733,较集中
经济学类,0201,经济学,9,20639,14103,较均衡
计算机类,0809,工学,19,18875,10252,较均衡
法学类,0301,法学,12,18846,12535,较均衡
金融学类,0203,经济学,11,18507,11751,较均衡
公共管理类,1204,管理学,21,15649,5131,略集中
电子信息类,0807,工学,22,13649,7143,较均衡
经济与贸易类,0204,经济学,3,13270,6700,较均衡
统计学类,0712,理学,4,13100,6799,较均衡
中国语言文学类,0501,文学,13,12602,6365,较均衡
数学类,0701,理学,4,12388,5567,较均衡
新闻传播学类,0503,文学,10,12062,5512,较均衡
社会学类,0303,法学,7,10338,1822,较集中
土木类,0810,工学,13,10318,3665,略集中
建筑类,0828,工学,7,9499,3205,较均衡
自动化类,0808,工学,8,9430,2829,略集中
机械类,0802,工学,20,9379,2924,较均衡
马克思主义理论类,0305,法学,5,9106,2602,略集中
电子商务类,1208,管理学,3,8855,3367,较均衡
政治学类,0302,法学,6,8749,2306,略集中
测绘类,0812,工学,6,8311,1778,略集中
环境科学与工程类,0825,工学,7,8201,2284,较均衡
交通运输类,0818,工学,12,8173,1591,略集中
化工与制药类,0813,工学,9,8166,1550,略集中
电气类,0806,工学,10,7947,2008,较均衡
自然保护与环境生态类,0902,农学,8,7696,1254,略集中
地理科学类,0705,理学,4,7647,1033,较均衡
水利类,0811,工学,6,7641,1347,略集中
化学类,0703,理学,7,7614,1387,略集中
公安技术类,0831,工学,12,7583,878,略集中
公安学类,0306,法学,23,7580,1815,较均衡
植物生产类,0901,农学,17,7568,927,较集中
安全科学与工程类,0829,工学,5,7554,1698,较均衡
旅游管理类,1209,管理学,5,7466,709,略集中
能源动力类,0805,工学,7,7420,1992,较均衡
物流管理与工程类,1206,管理学,4,7344,1293,略集中
历史学类,0601,历史学,9,7339,314,高度集中
工业工程类,1207,管理学,3,7279,1444,较均衡
外国语言文学类,0502,文学,100,7271,243,高度集中
生物科学类,0710,理学,6,7222,481,较集中
农业工程类,0823,工学,7,7156,1488,较均衡
农业经济管理类,1203,管理学,3,7104,1704,较均衡
图书情报与档案管理类,1205,管理学,3,7101,1709,较均衡
材料类,0804,工学,23,6994,1533,较均衡
林学类,0905,农学,5,6847,879,略集中
食品科学与工程类,0827,工学,13,6774,1304,较均衡
临床医学类,1002,医学,7,6774,1138,较均衡
矿业类,0815,工学,8,6705,1226,较均衡
生物工程类,0830,工学,3,6577,775,较均衡
教育学类,0401,教育学,18,6568,1022,较均衡
地质类,0814,工学,7,6555,972,较均衡
药学类,1007,医学,9,6533,626,略集中
医学技术类,1010,医学,17,6432,901,较均衡
哲学类,0101,哲学,4,6362,990,较均衡
基础医学类,1001,医学,3,6362,966,较均衡
中医学类,1005,医学,13,6335,917,较均衡
心理学类,0711,理学,2,6312,944,较均衡
护理学类,1011,医学,2,6288,927,较均衡
仪器类,0803,工学,3,6273,914,较均衡
物理学类,0702,理学,6,6254,888,较均衡
地质学类,0709,理学,4,6169,467,较均衡
动物医学类,0904,农学,6,6155,670,较均衡
林业工程类,0824,工学,5,6111,750,较均衡
动物生产类,0903,农学,7,6039,550,较均衡
纺织类,0816,工学,5,5988,542,较均衡
水产类,0906,农学,4,5934,446,较均衡
航空航天类,0820,工学,12,5919,512,较均衡
轻工类,0817,工学,7,5909,520,较均衡
公共卫生与预防医学类,1004,医学,6,5858,342,较均衡
海洋工程类,0819,工学,6,5843,440,较均衡
交叉工程类,0832,工学,6,5840,439,较均衡
核工程类,0822,工学,4,5838,470,较均衡
生物医学工程类,0826,工学,5,5837,479,较均衡
力学类,0801,工学,2,5831,475,较均衡
设计学类,1305,艺术学,15,5823,226,略集中
大气科学类,0706,理学,4,5818,459,较均衡
兵器类,0821,工学,8,5812,421,较均衡
法医学类,1009,医学,1,5802,275,较均衡
民族学类,0304,法学,1,5769,409,较均衡
海洋科学类,0707,理学,5,5759,250,略集中
体育学类,0402,教育学,17,5749,306,较均衡
草学类,0907,农学,2,5736,372,较均衡
中药学类,1008,医学,6,5735,270,略集中
地球物理学类,0708,理学,4,5723,337,较均衡
中西医结合类,1006,医学,1,5660,218,较均衡
戏剧与影视学类,1303,艺术学,18,5625,147,略集中
天文学类,0704,理学,1,5587,228,较均衡
音乐与舞蹈学类,1302,艺术学,15,5478,82,略集中
口腔医学类,1003,医学,1,5452,93,较均衡
美术学类,1304,艺术学,14,5437,57,较均衡
艺术学理论类,1301,艺术学,3,5406,41,较均衡
