专业类,专业类代码,所属学科门类,包含专业数量,本类总可报招录人数,直接面向本类招录人数,机会集中程度
法学类,0301,法学,12,12958,6813,较均衡
计算机类,0809,工学,19,10452,3363,较均衡
工商管理类,1202,管理学,18,10275,2508,略集中
经济学类,0201,经济学,9,9478,3016,较均衡
管理科学与工程类,1201,管理学,11,9469,1339,略集中
土木类,0810,工学,13,8901,2436,略集中
金融学类,0203,经济学,11,8819,2222,略集中
财政学类,0202,经济学,3,8689,2111,较均衡
公共管理类,1204,管理学,21,8592,1593,略集中
建筑类,0828,工学,7,8508,2254,较均衡
电子信息类,0807,工学,22,8058,1899,略集中
中国语言文学类,0501,文学,13,7864,1839,较均衡
机械类,0802,工学,20,7818,1581,略集中
新闻传播学类,0503,文学,10,7787,1404,略集中
经济与贸易类,0204,经济学,3,7705,1284,较均衡
测绘类,0812,工学,6,7624,1125,略集中
化工与制药类,0813,工学,9,7546,1143,略集中
自动化类,0808,工学,8,7439,1050,略集中
自然保护与环境生态类,0902,农学,8,7435,1037,略集中
统计学类,0712,理学,4,7428,1175,较均衡
水利类,0811,工学,6,7396,1258,略集中
公安技术类,0831,工学,12,7344,761,略集中
环境科学与工程类,0825,工学,7,7319,1429,较均衡
地理科学类,0705,理学,4,7226,716,较均衡
植物生产类,0901,农学,17,7191,760,较集中
安全科学与工程类,0829,工学,5,7147,1320,较均衡
数学类,0701,理学,4,7133,446,略集中
马克思主义理论类,0305,法学,5,7128,1041,略集中
交通运输类,0818,工学,12,7117,968,略集中
公安学类,0306,法学,23,7080,1408,较均衡
政治学类,0302,法学,6,7069,1028,略集中
农业工程类,0823,工学,7,7038,1398,较均衡
生物科学类,0710,理学,6,7014,313,较集中
旅游管理类,1209,管理学,5,6964,669,略集中
化学类,0703,理学,7,6804,721,略集中
历史学类,0601,历史学,9,6757,191,高度集中
林学类,0905,农学,5,6613,691,略集中
电气类,0806,工学,10,6611,841,略集中
食品科学与工程类,0827,工学,13,6517,1055,较均衡
药学类,1007,医学,9,6459,574,略集中
地质类,0814,工学,7,6452,896,较均衡
农业经济管理类,1203,管理学,3,6424,1037,较均衡
生物工程类,0830,工学,3,6418,620,较均衡
社会学类,0303,法学,7,6398,932,较均衡
工业工程类,1207,管理学,3,6325,584,较均衡
物流管理与工程类,1206,管理学,4,6318,479,略集中
临床医学类,1002,医学,7,6298,758,较均衡
材料类,0804,工学,23,6227,845,较均衡
矿业类,0815,工学,8,6168,750,较均衡
地质学类,0709,理学,4,6100,405,较均衡
能源动力类,0805,工学,7,6079,674,较均衡
医学技术类,1010,医学,17,6071,633,较均衡
中医学类,1005,医学,13,6059,649,较均衡
电子商务类,1208,管理学,3,6037,566,较均衡
基础医学类,1001,医学,3,6027,635,较均衡
林业工程类,0824,工学,5,6018,661,较均衡
护理学类,1011,医学,2,6014,657,较均衡
纺织类,0816,工学,5,5900,470,较均衡
教育学类,0401,教育学,18,5857,408,较均衡
心理学类,0711,理学,2,5856,498,较均衡
动物生产类,0903,农学,7,5832,429,较均衡
仪器类,0803,工学,3,5828,473,较均衡
动物医学类,0904,农学,6,5815,402,较均衡
轻工类,0817,工学,7,5780,424,较均衡
航空航天类,0820,工学,12,5769,399,较均衡
设计学类,1305,艺术学,15,5764,202,略集中
生物医学工程类,0826,工学,5,5754,400,较均衡
图书情报与档案管理类,1205,管理学,3,5752,384,较均衡
法医学类,1009,医学,1,5750,227,较均衡
交叉工程类,0832,工学,6,5746,370,较均衡
水产类,0906,农学,4,5741,324,较均衡
力学类,0801,工学,2,5736,384,较均衡
核工程类,0822,工学,4,5733,375,较均衡
兵器类,0821,工学,8,5726,347,较均衡
海洋工程类,0819,工学,6,5716,360,较均衡
民族学类,0304,法学,1,5713,357,较均衡
中药学类,1008,医学,6,5707,246,略集中
海洋科学类,0707,理学,5,5686,181,略集中
地球物理学类,0708,理学,4,5648,271,较均衡
草学类,0907,农学,2,5636,284,较均衡
大气科学类,0706,理学,4,5630,275,较均衡
体育学类,0402,教育学,17,5625,222,较均衡
外国语言文学类,0502,文学,100,5594,166,较均衡
哲学类,0101,哲学,4,5585,222,较均衡
公共卫生与预防医学类,1004,医学,6,5581,203,较均衡
物理学类,0702,理学,6,5557,200,较均衡
戏剧与影视学类,1303,艺术学,18,5553,120,略集中
中西医结合类,1006,医学,1,5537,121,较均衡
天文学类,0704,理学,1,5525,170,较均衡
口腔医学类,1003,医学,1,5421,66,较均衡
音乐与舞蹈学类,1302,艺术学,15,5418,52,较均衡
美术学类,1304,艺术学,14,5409,39,较均衡
艺术学理论类,1301,艺术学,3,5386,25,较均衡
