专业,专业代码,所属专业类,所属学科门类,专业相关招录人数,直接对口招录人数,专业类共享招录人数,学科门类共享招录人数,专业不限招录人数,全部可报招录人数_含不限,折算独占招录人数,专业独占指数,全部可报岗位数_含不限,折算独占岗位数,专业岗位独占指数
财务管理,120204,工商管理类,管理学,18879,1914,7049,34,5359,24238.0,1160.636718,0.047885,13572,723.287104,0.0532926
会计学,120203K,工商管理类,管理学,18832,1919,7042,34,5359,24191.0,991.309625,0.04097845,13559,602.956341,0.04446909
审计学,120207,工商管理类,管理学,18437,1621,7045,34,5359,23796.0,929.180473,0.03904776,13227,550.98193,0.04165585
财务会计教育,120213T,工商管理类,管理学,16841,248,7055,34,5359,22200.0,691.755248,0.03116015,11970,353.566253,0.0295377
内部审计,120218T,工商管理类,管理学,16807,145,7057,34,5359,22166.0,680.40897,0.03069606,11937,344.283996,0.02884175
财政学,020201K,财政学类,经济学,15966,453,13725,19,5359,21325.0,638.117389,0.02992344,11728,327.781273,0.02794861
税收学,020202,财政学类,经济学,15920,163,13737,19,5359,21279.0,627.778897,0.02950227,11690,319.134447,0.02729978
国际税收,020203TK,财政学类,经济学,15363,9,13743,19,5359,20722.0,616.287606,0.02974074,11263,309.266648,0.02745864
经济学,020101,经济学类,经济学,15007,435,13219,19,5359,20366.0,463.282313,0.02274783,11761,261.34188,0.02222106
工程审计,120109T,管理科学与工程类,管理学,14726,185,4329,34,5359,20085.0,601.114669,0.02992854,10884,301.033686,0.02765837
经济统计学,020102,经济学类,经济学,14613,151,13229,19,5359,19972.0,465.956456,0.02333049,11463,264.025871,0.02303288
数字经济,020109T,经济学类,经济学,14221,60,13229,19,5359,19580.0,446.46055,0.02280187,11141,246.379752,0.02211469
国民经济管理,020103T,经济学类,经济学,14115,41,13230,19,5359,19474.0,440.890604,0.02263996,11060,242.292286,0.02190708
能源经济,020106T,经济学类,经济学,14110,12,13227,19,5359,19469.0,441.395355,0.0226717,11055,242.797037,0.02196264
劳动经济学,020107T,经济学类,经济学,14108,3,13229,19,5359,19467.0,440.168214,0.02261099,11053,241.569896,0.0218556
商务经济学,020105T,经济学类,经济学,14082,14,13198,19,5359,19441.0,438.860632,0.02257397,11027,240.262314,0.02178855
资源与环境经济学,020104T,经济学类,经济学,14082,11,13199,19,5359,19441.0,439.297537,0.02259645,11027,240.699219,0.02182817
经济工程,020108T,经济学类,经济学,14080,9,13198,19,5359,19439.0,438.938013,0.02258028,11025,240.339695,0.02179952
法学,030101K,法学类,法学,13311,1587,10426,30,5359,18670.0,595.101398,0.03187474,11949,415.008627,0.03473166
金融学,020301K,金融学类,经济学,13049,376,10927,19,5359,18408.0,381.123453,0.02070423,10533,211.960892,0.02012351
纪检监察,030108TK,法学类,法学,12585,109,10792,30,5359,17944.0,521.90899,0.02908543,11411,352.475067,0.03088906
监狱学,030103T,法学类,法学,12562,116,10749,30,5359,17921.0,583.727502,0.03257226,11366,371.33302,0.03267051
信用风险管理与法律防控,030104T,法学类,法学,12549,88,10759,30,5359,17908.0,523.917985,0.02925609,11400,356.939641,0.03131049
国际经贸规则,030105T,法学类,法学,12530,102,10775,30,5359,17889.0,515.382383,0.02881002,11381,348.079305,0.03058425
知识产权,030102T,法学类,法学,12521,453,10755,30,5359,17880.0,515.801045,0.02884793,11371,348.803131,0.0306748
国际法,030109TK,法学类,法学,12516,181,10784,30,5359,17875.0,518.065236,0.02898267,11372,349.823977,0.03076187
海外利益安全,030112TK,法学类,法学,12511,29,10773,30,5359,17870.0,511.211223,0.02860723,11366,345.343182,0.03038388
司法警察学,030106TK,法学类,法学,12502,60,10751,30,5359,17861.0,517.031997,0.02894754,11344,343.997289,0.03032416
司法鉴定学,030110TK,法学类,法学,12491,37,10755,30,5359,17850.0,508.059449,0.02846271,11334,340.475006,0.03004015
社区矫正,030107TK,法学类,法学,12487,33,10754,30,5359,17846.0,515.6368,0.02889369,11341,349.628282,0.0308287
国家安全学,030111TK,法学类,法学,12485,39,10753,30,5359,17844.0,506.119953,0.02836359,11334,340.13551,0.03001019
金融工程,020302,金融学类,经济学,12476,85,10937,19,5359,17835.0,362.048044,0.02029986,10106,197.349245,0.01952793
经济与金融,020307T,金融学类,经济学,12471,74,10934,19,5359,17830.0,360.193384,0.02020154,10100,195.180299,0.01932478
计算机科学与技术,080901,计算机类,工学,11835,1052,9547,35,5359,17194.0,363.58384,0.02114597,10451,241.468751,0.02310485
金融审计,020311TK,金融学类,经济学,11770,86,10938,19,5359,17129.0,352.267396,0.02056556,9548,187.656386,0.019654
保险学,020303,金融学类,经济学,11726,28,10941,19,5359,17085.0,351.592145,0.020579,9521,188.987088,0.0198495
金融科技,020310T,金融学类,经济学,11725,27,10943,19,5359,17084.0,345.139331,0.02020249,9516,182.467607,0.01917482
投资学,020304,金融学类,经济学,11724,40,10938,19,5359,17083.0,344.694826,0.02017765,9518,182.723102,0.01919764
数据科学与大数据技术,080910T,计算机类,工学,11722,731,9552,35,5359,17081.0,332.582679,0.01947091,10404,215.658504,0.02072842
金融数学,020305T,金融学类,经济学,11718,22,10943,19,5359,17077.0,343.275478,0.02010163,9511,181.245421,0.0190564
互联网金融,020309T,金融学类,经济学,11717,20,10943,19,5359,17076.0,342.503617,0.0200576,9511,180.850941,0.01901492
精算学,020308T,金融学类,经济学,11716,28,10943,19,5359,17075.0,343.591712,0.0201225,9511,181.861655,0.01912119
信用管理,020306T,金融学类,经济学,11711,5,10941,19,5359,17070.0,341.936295,0.02003142,9507,180.331238,0.01896826
软件工程,080902,计算机类,工学,11539,887,9547,35,5359,16898.0,340.779625,0.02016686,10233,223.971935,0.02188722
数字媒体技术,080906,计算机类,工学,11364,146,9492,35,5359,16723.0,246.033021,0.01471225,9933,148.191882,0.01491915
新媒体技术,080912T,计算机类,工学,11317,102,9493,35,5359,16676.0,242.630809,0.0145497,9906,146.130255,0.01475169
网络工程,080903,计算机类,工学,11024,760,9552,35,5359,16383.0,315.164659,0.0192373,9862,205.816787,0.02086968
信息安全,080904K,计算机类,工学,10961,584,9552,35,5359,16320.0,288.855051,0.01769945,9799,183.798023,0.01875681
网络空间安全,080911TK,计算机类,工学,10805,412,9552,35,5359,16164.0,267.662332,0.01655916,9666,165.608755,0.01713312
电子与计算机工程,080909T,计算机类,工学,10588,359,9553,35,5359,15947.0,254.376363,0.01595136,9520,158.383716,0.01663694
智能科学与技术,080907T,计算机类,工学,10567,333,9544,35,5359,15926.0,251.557203,0.01579538,9487,153.951692,0.01622765
