专业,专业代码,所属专业类,所属学科门类,专业相关招录人数,直接对口招录人数,专业类共享招录人数,学科门类共享招录人数,专业不限招录人数
法学,030101K,法学类,法学,7467,631,5625,0,5355
监狱学,030103T,法学类,法学,6896,110,5655,0,5355
纪检监察,030108TK,法学类,法学,6865,87,5660,0,5355
知识产权,030102T,法学类,法学,6835,283,5639,0,5355
司法警察学,030106TK,法学类,法学,6831,47,5656,0,5355
信用风险管理与法律防控,030104T,法学类,法学,6828,22,5651,0,5355
社区矫正,030107TK,法学类,法学,6826,33,5659,0,5355
国际经贸规则,030105T,法学类,法学,6820,4,5642,0,5355
司法鉴定学,030110TK,法学类,法学,6810,17,5660,0,5355
国家安全学,030111TK,法学类,法学,6810,9,5661,0,5355
海外利益安全,030112TK,法学类,法学,6809,1,5661,0,5355
国际法,030109TK,法学类,法学,6800,68,5652,0,5355
会计学,120203K,工商管理类,管理学,4565,1188,1991,9,5355
财务管理,120204,工商管理类,管理学,4451,1024,1991,9,5355
数据科学与大数据技术,080910T,计算机类,工学,4432,263,2812,3,5355
计算机科学与技术,080901,计算机类,工学,4359,397,2807,3,5355
审计学,120207,工商管理类,管理学,4242,963,1994,9,5355
软件工程,080902,计算机类,工学,4143,304,2809,3,5355
经济学,020101,经济学类,经济学,3915,231,2426,0,5355
信息安全,080904K,计算机类,工学,3782,220,2812,3,5355
网络空间安全,080911TK,计算机类,工学,3747,169,2812,3,5355
数字媒体技术,080906,计算机类,工学,3711,60,2798,3,5355
网络工程,080903,计算机类,工学,3699,250,2812,3,5355
新媒体技术,080912T,计算机类,工学,3696,52,2795,3,5355
电子与计算机工程,080909T,计算机类,工学,3538,125,2812,3,5355
智能科学与技术,080907T,计算机类,工学,3492,62,2810,3,5355
空间信息与数字技术,080908T,计算机类,工学,3480,48,2811,3,5355
物联网工程,080905,计算机类,工学,3478,46,2811,3,5355
经济统计学,020102,经济学类,经济学,3465,77,2430,0,5355
区块链工程,080917T,计算机类,工学,3451,19,2812,3,5355
密码科学与技术,080918TK,计算机类,工学,3444,6,2812,3,5355
保密技术,080914TK,计算机类,工学,3443,11,2812,3,5355
工业软件,080919T,计算机类,工学,3440,0,2810,3,5355
土木工程,081001,土木类,工学,3413,208,2043,3,5355
金融学,020301K,金融学类,经济学,3412,274,1613,0,5355
工程管理,120103,管理科学与工程类,管理学,3362,162,1020,9,5355
工程造价,120105,管理科学与工程类,管理学,3356,152,1020,9,5355
财政学,020201K,财政学类,经济学,3328,342,1434,0,5355
工程审计,120109T,管理科学与工程类,管理学,3319,123,1020,9,5355
虚拟现实技术,080916T,计算机类,工学,3308,7,2805,3,5355
服务科学与工程,080915T,计算机类,工学,3308,5,2807,3,5355
电影制作,080913T,计算机类,工学,3288,5,2787,3,5355
税收学,020202,财政学类,经济学,3283,91,1446,0,5355
内部审计,120218T,工商管理类,管理学,3246,121,1997,9,5355
财务会计教育,120213T,工商管理类,管理学,3245,200,1995,9,5355
数字经济,020109T,经济学类,经济学,3125,37,2431,0,5355
城乡规划,082802,建筑类,工学,3086,182,1872,3,5355
国民经济管理,020103T,经济学类,经济学,3027,27,2431,0,5355
能源经济,020106T,经济学类,经济学,3027,11,2432,0,5355
资源与环境经济学,020104T,经济学类,经济学,3027,9,2431,0,5355
商务经济学,020105T,经济学类,经济学,3026,13,2430,0,5355
劳动经济学,020107T,经济学类,经济学,3024,3,2432,0,5355
经济工程,020108T,经济学类,经济学,3023,7,2430,0,5355
经济与金融,020307T,金融学类,经济学,2879,62,1619,0,5355
金融工程,020302,金融学类,经济学,2866,45,1622,0,5355
