排名,专业,专业代码,所属专业类,所属学科门类,专业榜总分,机会规模指数,直接对口指数,独占指数得分,专业相关招录人数,直接对口招录人数,专业独占指数,全部可报招录人数_含不限,折算独占招录人数,专业类共享招录人数,学科门类共享招录人数,专业不限招录人数
1,财务管理,120204,工商管理类,管理学,99.9583,100.0,99.8808,100.0,18879,1914,0.047885,24238.0,1160.636718,7049,34,5359
2,会计学,120203K,工商管理类,管理学,99.9225,99.8808,100.0,99.8808,18832,1919,0.04097845,24191.0,991.309625,7042,34,5359
3,审计学,120207,工商管理类,管理学,99.7616,99.7616,99.7616,99.7616,18437,1621,0.03904776,23796.0,929.180473,7045,34,5359
4,财政学,020201K,财政学类,经济学,99.0435,99.4041,98.6293,99.0465,15966,453,0.02992344,21325.0,638.117389,13725,19,5359
5,法学,030101K,法学类,法学,98.8975,97.8546,99.6424,99.5232,13311,1587,0.03187474,18670.0,595.101398,10426,30,5359
6,财务会计教育,120213T,工商管理类,管理学,98.4148,99.6424,96.3051,99.4041,16841,248,0.03116015,22200.0,691.755248,7055,34,5359
7,经济学,020101,经济学类,经济学,98.236,99.0465,98.093,97.1395,15007,435,0.02274783,20366.0,463.282313,13219,19,5359
8,知识产权,030102T,法学类,法学,97.8993,97.1395,98.6293,98.093,12521,453,0.02884793,17880.0,515.801045,10755,30,5359
9,工程审计,120109T,管理科学与工程类,管理学,97.652,98.9273,95.1132,99.1657,14726,185,0.02992854,20085.0,601.114669,4329,34,5359
10,金融学,020301K,金融学类,经济学,97.3004,97.7354,97.8546,95.8284,13049,376,0.02070423,18408.0,381.123453,10927,19,5359
11,计算机科学与技术,080901,计算机类,工学,97.2348,96.0667,99.4041,96.0667,11835,1052,0.02114597,17194.0,363.58384,9547,35,5359
12,税收学,020202,财政学类,经济学,97.2259,99.2849,93.7426,98.8081,15920,163,0.02950227,21279.0,627.778897,13737,19,5359
13,内部审计,120218T,工商管理类,管理学,97.1067,99.5232,92.789,99.2849,16807,145,0.03069606,22166.0,680.40897,7057,34,5359
14,国际法,030109TK,法学类,法学,96.627,97.0203,94.8749,98.4505,12516,181,0.02898267,17875.0,518.065236,10784,30,5359
15,经济统计学,020102,经济学类,经济学,96.5733,98.8081,93.4446,97.3778,14613,151,0.02333049,19972.0,465.956456,13229,19,5359
16,软件工程,080902,计算机类,工学,96.2396,94.8749,99.2849,94.1597,11539,887,0.02016686,16898.0,340.779625,9547,35,5359
17,数据科学与大数据技术,080910T,计算机类,工学,96.1859,95.4708,99.0465,93.3254,11722,731,0.01947091,17081.0,332.582679,9552,35,5359
18,网络工程,080903,计算机类,工学,95.8165,94.5173,99.1657,93.2062,11024,760,0.0192373,16383.0,315.164659,9552,35,5359
19,信息安全,080904K,计算机类,工学,95.5959,94.3981,98.9273,92.8486,10961,584,0.01769945,16320.0,288.855051,9552,35,5359
20,海关稽查,120217TK,工商管理类,管理学,95.4589,92.4911,98.3313,96.1859,7955,439,0.02171416,13314.0,289.102355,7052,34,5359
21,监狱学,030103T,法学类,法学,95.4052,97.497,89.9881,99.6424,12562,116,0.03257226,17921.0,583.727502,10749,30,5359
