排名,专业类,专业类代码,所属学科门类,包含专业数量,专业类榜总分,机会规模指数,直接需求指数,独占指数得分,类内均衡指数,本类总可报招录人数,直接面向本类招录人数,专业类独占指数,折算独占招录人数,机会集中度数值,机会集中程度
1,财政学类,0202,经济学,3,94.6196,98.913,100.0,95.6522,60.8696,21333,14658,0.14789181,3154.975919,1.010249,较均衡
2,经济学类,0201,经济学,9,91.8478,96.7391,98.913,96.7391,41.3043,20639,14103,0.15081567,3112.684702,1.037617,较均衡
3,法学类,0301,法学,12,91.3587,94.5652,97.8261,100.0,39.1304,18846,12535,0.31308777,5900.452058,1.040314,较均衡
4,计算机类,0809,工学,19,89.5109,95.6522,95.6522,98.913,26.087,18875,10252,0.20592298,3886.796291,1.069384,较均衡
5,工商管理类,1202,管理学,18,87.9348,100.0,94.5652,97.8261,1.087,25337,7707,0.20533062,5202.461848,1.529925,较集中
6,金融学类,0203,经济学,11,87.5,93.4783,96.7391,91.3043,29.3478,18507,11751,0.14056443,2601.425966,1.061525,较均衡
7,电子信息类,0807,工学,22,86.6848,91.3043,93.4783,94.5652,30.4348,13649,7143,0.14783747,2017.833673,1.058702,较均衡
8,统计学类,0712,理学,4,86.4674,89.1304,92.3913,90.2174,50.0,13100,6799,0.13146348,1722.171608,1.019287,较均衡
9,中国语言文学类,0501,文学,13,84.5109,88.0435,90.2174,93.4783,32.6087,12602,6365,0.14442075,1819.990275,1.051754,较均衡
10,经济与贸易类,0204,经济学,3,84.4565,90.2174,91.3043,85.8696,40.2174,13270,6700,0.09057346,1201.909769,1.037947,较均衡
11,数学类,0701,理学,4,83.2608,86.9565,89.1304,89.1304,38.0435,12388,5567,0.12510658,1549.820307,1.042461,较均衡
12,管理科学与工程类,1201,管理学,11,83.0978,97.8261,85.8696,92.3913,0.0,21100,4733,0.14350836,3028.026466,1.747254,较集中
13,新闻传播学类,0503,文学,10,81.3044,85.8696,88.0435,88.0435,28.2609,12062,5512,0.11898885,1435.243558,1.064985,较均衡
14,公共管理类,1204,管理学,21,80.5978,92.3913,86.9565,86.9565,4.3478,15649,5131,0.11540225,1805.929883,1.253015,略集中
15,电子商务类,1208,管理学,3,77.0109,78.2609,83.6957,70.6522,68.4783,8855,3367,0.05284655,467.956221,1.007032,较均衡
16,土木类,0810,工学,13,76.3587,83.6957,84.7826,82.6087,9.7826,10318,3665,0.08149804,840.896824,1.112051,略集中
17,建筑类,0828,工学,7,75.6522,82.6087,82.6087,78.2609,23.913,9499,3205,0.0703368,668.129304,1.070153,较均衡
18,机械类,0802,工学,20,74.6739,80.4348,81.5217,80.4348,19.5652,9379,2924,0.07568516,709.851073,1.07695,较均衡
19,社会学类,0303,法学,7,73.2608,84.7826,73.913,84.7826,2.1739,10338,1822,0.08826875,912.522374,1.259707,较集中
20,自动化类,0808,工学,8,72.5543,81.5217,80.4348,73.913,14.1304,9430,2829,0.05925536,558.778012,1.107031,略集中
21,马克思主义理论类,0305,法学,5,72.5,79.3478,79.3478,77.1739,16.3043,9106,2602,0.06959666,633.747191,1.099269,略集中
22,政治学类,0302,法学,6,70.5978,77.1739,78.2609,76.087,10.8696,8749,2306,0.05992741,524.304887,1.110918,略集中
23,环境科学与工程类,0825,工学,7,70.3804,75.0,77.1739,69.5652,35.8696,8201,2284,0.05078814,416.5135,1.047786,较均衡
24,公安学类,0306,法学,23,69.2935,65.2174,72.8261,83.6957,36.9565,7580,1815,0.08253095,625.584635,1.046538,较均衡
25,电气类,0806,工学,10,67.7718,71.7391,76.087,68.4783,27.1739,7947,2008,0.05071462,403.029102,1.066166,较均衡
26,交通运输类,0818,工学,12,67.2282,73.913,67.3913,79.3478,13.0435,8173,1591,0.07318124,598.1103,1.109183,略集中
27,化工与制药类,0813,工学,9,65.4348,72.8261,66.3043,72.8261,18.4783,8166,1550,0.05576496,455.376628,1.079143,略集中
28,测绘类,0812,工学,6,65.1087,76.087,71.7391,63.0435,11.9565,8311,1778,0.0447326,371.772616,1.110258,略集中
29,能源动力类,0805,工学,7,63.2609,60.8696,75.0,52.1739,64.1304,7420,1992,0.03606537,267.60505,1.007745,较均衡
30,安全科学与工程类,0829,工学,5,62.663,63.0435,68.4783,66.3043,34.7826,7554,1698,0.04708382,355.671179,1.047951,较均衡
31,图书情报与档案管理类,1205,管理学,3,61.9022,52.1739,70.6522,57.6087,80.4348,7101,1709,0.03896348,276.679675,1.001599,较均衡
32,化学类,0703,理学,7,60.2174,67.3913,61.9565,65.2174,17.3913,7614,1387,0.04636114,352.993741,1.095934,略集中
33,水利类,0811,工学,6,59.6196,68.4783,60.8696,60.8696,21.7391,7641,1347,0.04284783,327.400302,1.070917,略集中
34,农业经济管理类,1203,管理学,3,59.5652,53.2609,69.5652,48.913,78.2609,7104,1704,0.0349584,248.344448,1.002401,较均衡
35,食品科学与工程类,0827,工学,13,59.3207,48.3696,59.7826,71.7391,65.2174,6774,1304,0.05318467,360.272943,1.007524,较均衡
36,地理科学类,0705,理学,4,58.6957,69.5652,54.3478,58.6957,33.6957,7647,1033,0.03909184,298.935311,1.048227,较均衡
37,材料类,0804,工学,23,58.6957,51.087,65.2174,59.7826,63.0435,6994,1533,0.04043841,282.826231,1.007855,较均衡
38,自然保护与环境生态类,0902,农学,8,57.1196,70.6522,57.6087,54.3478,15.2174,7696,1254,0.03620538,278.636619,1.103928,略集中
39,公安技术类,0831,工学,12,56.5217,66.3043,40.2174,75.0,25.0,7583,878,0.0597098,452.77944,1.06985,略集中
40,农业工程类,0823,工学,7,56.3587,54.3478,64.1304,55.4348,42.3913,7156,1488,0.03700846,264.832545,1.034595,较均衡
41,植物生产类,0901,农学,17,54.1304,64.1304,47.2826,67.3913,6.5217,7568,927,0.04904788,371.194371,1.164452,较集中
